FID,Long,Lat,Segment,seg_length,n,river_mean,river_medi,river_p20,river_p80,river_min,river_max,land_mean,land_media,land_p20,land_p80,land_min,land_max,width_mean,width_medi,width_p20,width_p80,width_min,width_max,width_sd,averaged,DEM_mean,DEM_median,DEM_p20,DEM_p80,DEM_min,DEM_max,DEM_sd,DEM_n
32,89.122100527300006,22.189436830999998,33,100.000020874000001,4,16.462169880000001,15.006185150000000,14.123800670000000,18.218145190000001,12.930439540000000,22.905869660000000,17.926009369999999,18.067241559999999,14.467531780000000,21.440979830000000,9.194739741999999,26.374814640000000,4.211551603000000,4.231047866000000,4.134311635000000,4.296590076000000,4.073398857000000,4.310711822000000,0.109513742000000,original,3.083919299000000,3.091210050000000,2.983815980000000,3.203517980000000,2.732940000000000,3.348939900000000,0.138499730000000,100
33,89.121598454999997,22.190209063299999,34,99.999984754600007,6,17.152261509999999,17.189871879999998,12.234463580000000,22.089906450000001,11.011655820000000,23.197799459999999,22.074415089999999,23.062170240000000,14.554331260000000,27.750880270000000,13.808519009999999,30.208419509999999,4.535678591000000,4.357884144000000,4.283183569000000,4.459723087000000,3.994658215000000,5.760738387000000,0.620942274000000,original,3.233572115000000,3.248430000000000,3.167217960000000,3.327425980000000,2.867310000000000,3.397530100000000,0.113978922000000,99
34,89.121105390200000,22.190986398100002,35,100.000024326000002,6,14.318887309999999,13.738732980000000,9.969617465000001,16.954719950000001,8.371631896000000,23.139888599999999,26.297065530000001,25.043329830000001,23.468073990000001,29.383978400000000,21.025725690000002,33.817955429999998,5.032072583000000,5.058105783000000,4.590080092000000,5.429132988000000,4.450142690000000,5.606868164000000,0.461896650000000,original,3.466003297000000,3.442564950000000,3.343823900000000,3.622335980000000,3.238060000000000,3.722780000000000,0.134992950000000,100
35,89.120601358100004,22.191757050700001,36,99.999977677100006,7,12.719776619999999,10.729282599999999,8.120957194000001,18.666060970000000,5.308256448000000,19.539848339999999,18.552500210000002,18.860982140000001,16.573016950000000,20.940457250000001,14.867515969999999,21.713259990000001,3.608061262000000,3.638318327000000,3.238751188000000,3.966219690000000,2.987576904000000,4.149718140000000,0.426101124000000,original,3.444104554000000,3.382020000000000,3.302457980000000,3.720794100000000,2.987570000000000,3.773740100000000,0.219011214000000,99
36,89.119993335900006,22.192458193899999,37,99.999994076500002,6,21.975667450000000,27.524201609999999,8.034188667000000,28.991956439999999,7.644343989000000,32.135112380000002,30.042121880000000,30.764817279999999,25.958982150000001,31.730054400000000,24.376527660000001,36.657532470000000,4.360689555000000,4.362530062000000,4.231348850000000,4.457281701000000,3.726936028000000,5.023510626000000,0.419569221000000,original,3.385588285000000,3.349690000000000,3.253523960000000,3.486092000000000,3.151710000000000,3.681400100000000,0.151220988000000,99
37,89.119382186799996,22.193157481499998,38,100.000054517999999,8,21.621244489999999,22.477877280000001,14.215283230000001,28.372387910000000,10.239213140000000,31.654450940000000,17.885120260000001,19.095347350000001,12.767565930000000,22.759665540000000,5.654045803000000,26.967633429999999,3.876896805000000,3.767518984000000,3.194204630000000,4.851616556000000,2.343568168000000,5.128088412000000,0.982058453000000,original,2.924309809000000,2.903064950000000,2.823166100000000,3.042508060000000,2.636339900000000,3.212250000000000,0.133290228000000,100
38,89.118838818900002,22.193905179200001,39,99.999955738500006,10,19.212477280000002,22.310331110000000,7.961635365000000,24.821407550000000,4.304851439000000,32.945425260000000,25.123318510000001,25.307586650000001,21.170202470000000,25.701204109999999,18.481005119999999,38.233200619999998,4.646328641000000,4.563474790000000,4.407322455000000,4.845087404000000,4.350538891000000,5.174622468000000,0.284489131000000,original,3.165642424000000,3.194150000000000,3.043959940000000,3.276182100000000,2.882890000000000,3.333900000000000,0.119781172000000,99
39,89.118240868100003,22.194614193500001,40,99.999985398600003,8,15.954082189999999,17.325174629999999,11.919612960000000,20.389651380000000,7.834198059000000,20.440087230000000,30.065032469999998,32.479587490000000,13.809539570000000,44.147930629999998,11.607558010000000,48.490654169999999,4.006572537000000,3.851292572000000,3.189929403000000,4.991121452000000,2.741400965000000,5.117636368000000,0.938979169000000,original,3.225352522000000,3.178250100000000,2.996482020000000,3.509866040000000,2.658279900000000,3.745060000000000,0.281235689000000,99
40,89.117605159999997,22.195295801099999,41,99.999965438199993,9,18.962623990000001,18.844895879999999,14.925221049999999,25.427652030000001,7.433592176000000,27.437255050000001,29.300107969999999,28.948292100000000,25.762325990000001,33.208299210000000,20.534307160000001,36.936840879999998,4.165253631000000,3.894684999000000,3.800773926000000,4.551980053000000,3.691105445000000,4.911362964000000,0.443945431000000,original,3.105523135000000,3.093260000000000,2.845232040000000,3.316353940000000,2.717230100000000,3.485080000000000,0.227462812000000,99
41,89.116991032599998,22.195994427999999,42,100.000055834999998,6,18.433253940000000,16.386558579999999,11.811321970000000,24.856624040000000,9.788097377000000,31.370363070000000,35.481586270000001,31.781980579999999,26.376490029999999,47.644018260000003,22.145560679999999,53.159487480000003,4.608319195000000,4.306939267000000,4.109855595000000,5.340064963000000,3.966996457000000,5.619119619000000,0.697902786000000,original,3.300530095000000,3.253029950000000,3.151582000000000,3.475012000000000,3.049109900000000,3.592080100000000,0.161361090000000,100
